The Data Nerd,@OnchainDataNerd
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\OnchainDataNerd\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-07-02 09:06,https://twitter.com/OnchainDataNerd/status/1808064581040066924,"5 hours ago, a wallet 0x11b (belongs to @GSR_io) withdrew 881k $ZRO (~$3.35M) from #OKX.

Just now, they have 9.53M $ZRO (~$36.4M) in their wallet.

Address:
",24,3,4
2024-07-02 08:08,https://twitter.com/OnchainDataNerd/status/1808050038834450497,"5 minutes ago, #Abraxas_Capital_Management just deposited 10k $ETH(~$34.34M) to #Binance.

Those $ETH were unstaked from @ether_fi 10 minutes ago.

Address:
",24,5,5
2024-07-02 03:13,https://twitter.com/OnchainDataNerd/status/1807975859069817041,"1 hour ago, @wintermute_t finished selling 12,695 $ETH (~$43.84M) in #Binance.
 Those $ETH were transferred from other exchanges: #Coinbase, #Kraken, #Crypto_com.

Yesterday, they did the same movement with 12,608 $ETH (~$44.27M).

Address:
",26,2,3
2024-07-01 09:12,https://twitter.com/OnchainDataNerd/status/1807703930450989065,"2 hours ago, #German_gov just transferred out 1,500 $BTC (~$94.94M) to exchanges:

✅ 100 $BTC to #Kraken
✅ 100 $BTC to #Coinbase
✅ 200 $BTC to #Bitstamp
✅ 1,100 $BTC to wallet 139Po.

They still hodls 44,692 $BTC ~ $2.8B.

Address:
",36,13,3
2024-07-01 07:31,https://twitter.com/OnchainDataNerd/status/1807678418185806201,"2 hours ago, a wallet (a dev) swapped 150 $SOL (~$22.1k) for 98B $88022.

After that, he sent 109 wallets (each wallet had 890M tokens).

Even the liquidity is locked, the selling pressure of team will dump token to the ground.

Address:
",15,2,2
2024-07-01 04:34,https://twitter.com/OnchainDataNerd/status/1807633927089328307,"After staking 30k $ETH into #Spark, this whale borrowed 51M $DAI from #Spark &amp; swapped into 52M $USDC and then deposited all USDC into #Binance.

By utilizing this routine, he withdrew more 30k $ETH (~$101.7M) from #Binance.

Address:
",14,2,2
2024-06-30 12:22,https://twitter.com/OnchainDataNerd/status/1807389237714767874,"3 hours ago, a whale (maybe #Abraxas_Capital_Management) withdrew 30k $ETH (~$101.5M) from #Bitfinex

After that, they staked all of $ETH into #Spark.

1 hour ago, #Matrixport also withdrew 5,308 $ETH (~$17.94M) from #Binance

Addresses:
",13,3,1
2024-06-30 03:15,https://twitter.com/OnchainDataNerd/status/1807251666502296027,"6 hours ago, a whale 0x79c withdrew 3M $OM (~$2.14M) from #Binance.

Within 1 month, he totally accumulated 8.5M $OM for $6.93M (avg entry $0.82$).

Just now, he hodls 9.022M $OM ~ $6.36M

Address:
",14,1,1
2024-06-29 14:31,https://twitter.com/OnchainDataNerd/status/1807059331160182972,"The whale 0x837 already switch all $PEPE into $ETH.

3 hours ago, he withdrew 1,728 $ETH (~$5.86M) from #Binance 👉 he totally accumulated 4,374 $ETH (~$14.91M) during last 2 days.

Those $ETH were staked into #Compound.

",17,4,1
2024-06-28 10:51,https://twitter.com/OnchainDataNerd/status/1806641499314241925,"2 hours ago, a whale 0x552 just deposited his all 10.7M $OCEAN (~$6.58M) to #Coinbase

Last year, he accumulated those tokens for $4.69M

#Coinbase said they will not support for the Merge of 3 tokens so will he sell them all for profit ~$1.89M?

Address:
",20,5,6
